location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.4642,78.4642,78.4642,78.4642,78.4642
timestamp,Temperature ( C),Relative Humidity (%),Wind Speed (km/h),Soil Moisture (m3/m3),Soil Temperature ( C)
20201107T0000,23.6929,74,6.924738,0.218,24.690002
20201107T0100,23.1429,77,6.9527545,0.218,24.179993
20201107T0200,22.6429,80,7.10031,0.218,23.730011
20201107T0300,22.1929,82,7.2,0.218,23.330017
20201107T0400,21.8229,84,7.10031,0.219,22.970001
20201107T0500,21.4929,87,6.6087217,0.219,22.640015
20201107T0600,21.2029,89,5.815978,0.219,22.360016
20201107T0700,22.6429,86,6.489992,0.219,23.149994
20201107T0800,23.7729,83,9.227524,0.218,24.899994
20201107T0900,25.4129,72,10.182337,0.217,27.110016
20201107T1000,27.1129,61,12.371645,0.216,29.580017
20201107T1100,28.4929,54,13.441071,0.215,31.890015
20201107T1200,29.4529,51,12.964998,0.213,33.700012
20201107T1300,30.1529,48,13.32,0.211,34.910004
20201107T1400,30.4829,45,13.679999,0.21,35.369995
20201107T1500,30.4529,44,12.964998,0.208,35.070007
20201107T1600,30.0629,44,12.959999,0.207,34.01001
20201107T1700,29.4329,48,12.261158,0.213,32.559998
20201107T1800,28.7629,50,11.165805,0.213,30.950012
20201107T1900,28.1829,52,10.464798,0.213,29.77002
20201107T2000,27.5929,55,10.538843,0.213,28.880005
20201107T2100,26.7629,58,10.594036,0.213,28.050018
20201107T2200,25.9129,62,10.538843,0.212,27.089996
20201107T2300,25.082901,66,9.779817,0.212,26.279999
20201108T0000,24.2329,69,9.114471,0.212,25.529999
20201108T0100,23.4929,71,8.427383,0.212,24.850006
20201108T0200,22.8729,70,8.0899935,0.212,24.230011
20201108T0300,22.3029,67,8.209263,0.212,23.660004
20201108T0400,21.8029,62,7.928177,0.212,23.130005
20201108T0500,21.332901,59,7.653705,0.212,22.630005
20201108T0600,20.9329,56,7.145796,0.212,22.160004
20201108T0700,22.1629,50,5.904439,0.212,22.610016
20201108T0800,24.2529,46,9.531505,0.211,24.390015
20201108T0900,25.9429,46,10.948973,0.21,26.880005
20201108T1000,27.4229,43,10.829958,0.209,29.570007
20201108T1100,28.7129,40,9.673221,0.207,32.070007
20201108T1200,29.7129,36,9.085988,0.205,34.110016
20201108T1300,30.3129,34,9.19939,0.203,35.48001
20201108T1400,30.6329,34,10.315115,0.202,36.03
20201108T1500,30.6429,30,10.315115,0.2,35.679993
20201108T1600,30.1429,30,10.495713,0.199,34.450012
20201108T1700,28.6529,35,9.422101,0.208,31.589996
20201108T1800,27.4029,39,9.422101,0.208,29.52002
20201108T1900,26.0329,42,10.233123,0.208,27.880005
20201108T2000,24.6429,44,10.296251,0.208,26.51001
20201108T2100,23.4829,46,10.086427,0.208,25.320007
20201108T2200,22.5529,47,9.387651,0.208,24.309998
20201108T2300,21.8029,48,8.854829,0.207,23.440002
20201109T0000,21.2429,48,9.028754,0.207,22.700012
20201109T0100,20.7029,47,9.360001,0.207,22.050018
20201109T0200,20.0629,47,9.449572,0.207,21.450012
20201109T0300,19.3529,47,9.178235,0.207,20.880005
20201109T0400,18.7429,48,9.0645685,0.207,20.339996
20201109T0500,18.1729,48,9.3669195,0.207,19.809998
20201109T0600,17.6729,49,9.36,0.207,19.309998
20201109T0700,19.1029,48,8.647496,0.207,19.779999
20201109T0800,22.6629,41,9.511088,0.206,21.839996
20201109T0900,24.8129,33,16.80857,0.205,24.630005
20201109T1000,26.1529,30,15.546833,0.204,27.480011
20201109T1100,27.2929,28,14.512064,0.202,30.100006
20201109T1200,28.3529,25,14.003028,0.2,32.22
20201109T1300,28.9529,25,13.755579,0.199,33.649994
20201109T1400,29.2629,26,14.021525,0.197,34.23001
20201109T1500,29.1329,26,14.021525,0.195,33.929993
20201109T1600,28.5529,27,14.05845,0.194,32.70999
20201109T1700,27.2529,26,10.948973,0.202,30.200012
20201109T1800,25.6929,29,10.195057,0.202,27.970001
20201109T1900,24.2429,32,9.726664,0.202,26.170013
20201109T2000,23.0229,34,9.220499,0.202,24.670013
20201109T2100,22.1529,36,8.669949,0.202,23.410004
20201109T2200,21.5229,37,7.928177,0.202,22.320007
20201109T2300,20.9129,38,7.2,0.202,21.399994
20201110T0000,20.2429,40,7.289445,0.202,20.610016
20201110T0100,19.582901,42,7.5685663,0.202,19.910004
20201110T0200,19.0029,43,7.8625183,0.202,19.290009
20201110T0300,18.4629,45,8.049845,0.202,18.74002
20201110T0400,17.9829,47,8.311245,0.202,18.25
20201110T0500,17.5629,48,8.647496,0.202,17.820007
20201110T0600,17.2429,49,9.007196,0.202,17.459991
20201110T0700,18.2629,49,8.4042845,0.201,18.24002
20201110T0800,21.9029,41,10.195057,0.201,20.550018
20201110T0900,24.3629,34,19.022177,0.2,23.559998
20201110T1000,25.6629,31,18.455048,0.199,26.540009
20201110T1100,26.7429,31,16.965895,0.197,29.24002
20201110T1200,27.6729,28,15.725037,0.195,31.399994
20201110T1300,28.2029,29,14.934577,0.194,32.869995
20201110T1400,28.4829,29,14.587776,0.192,33.48001
20201110T1500,28.3629,30,14.241629,0.191,33.20999
20201110T1600,27.8129,32,14.145756,0.19,32.02002
20201110T1700,26.7229,29,11.090103,0.196,29.640015
20201110T1800,25.3529,33,9.793058,0.196,27.470001
20201110T1900,24.1229,36,9.339208,0.196,25.75
20201110T2000,22.9529,39,9.290511,0.195,24.339996
20201110T2100,21.8929,42,9.178235,0.195,23.170013
20201110T2200,20.9329,44,9.178235,0.195,22.190002
20201110T2300,20.1529,47,8.714677,0.195,21.350006
20201111T0000,19.5329,49,8.0899935,0.195,20.610016
20201111T0100,18.9829,51,7.754637,0.195,19.959991
20201111T0200,18.5329,53,7.69592,0.195,19.380005
20201111T0300,18.0929,54,7.9526596,0.195,18.920013
20201111T0400,17.7529,56,8.287822,0.195,18.619995
20201111T0500,17.5129,57,8.311245,0.195,18.429993
20201111T0600,17.3629,59,8.707238,0.195,18.27002
20201111T0700,19.0729,56,9.178235,0.195,19.070007
20201111T0800,22.5629,48,13.779114,0.194,21.369995
20201111T0900,25.0929,43,15.9134655,0.194,24.390015
20201111T1000,26.5929,42,15.937878,0.192,27.49002
20201111T1100,27.7829,41,15.745627,0.191,30.25
20201111T1200,28.8029,40,15.905319,0.19,32.45999
20201111T1300,29.4729,39,16.215992,0.188,33.940002
20201111T1400,29.8029,40,16.923828,0.187,34.559998
20201111T1500,29.7029,40,16.575644,0.186,34.30002
20201111T1600,29.2429,42,16.575644,0.185,33.160004
20201111T1700,28.0629,44,11.304229,0.19,30.800018
20201111T1800,27.0429,48,10.041354,0.189,28.830017
20201111T1900,26.1329,52,9.83268,0.189,27.369995
20201111T2000,25.5529,54,10.495713,0.189,26.320007
20201111T2100,25.4129,55,11.298495,0.189,25.619995
20201111T2200,24.4629,58,10.805998,0.189,25.050018
20201111T2300,23.582901,62,9.885262,0.189,24.399994
20201112T0000,22.9429,65,9.220499,0.189,23.830017
20201112T0100,22.3929,68,8.669949,0.189,23.350006
20201112T0200,21.9529,71,8.161764,0.189,22.920013
20201112T0300,21.582901,72,7.7879906,0.189,22.559998
20201112T0400,21.332901,73,7.5942082,0.189,22.25
20201112T0500,21.1529,72,7.5685663,0.189,22
20201112T0600,21.0129,71,7.24486,0.189,21.790009
20201112T0700,22.7129,63,8.14587,0.188,22.540009
20201112T0800,25.0029,57,13.627795,0.188,24.630005
20201112T0900,25.9829,63,16.203999,0.187,27.170013
20201112T1000,26.8029,62,16.595179,0.186,28.800018
20201112T1100,27.3629,61,16.454008,0.186,30.110016
20201112T1200,26.7929,63,16.09969,0.185,31.080017
20201112T1300,28.3929,58,16.954432,0.184,32.899994
20201112T1400,28.6129,56,16.93531,0.183,33.22
20201112T1500,28.5729,55,17.015474,0.182,33.309998
20201112T1600,28.1129,57,16.87398,0.181,32.45999
20201112T1700,27.0229,59,14.404499,0.187,29.619995
20201112T1800,26.3029,63,12.245294,0.186,28.110016
20201112T1900,25.9329,65,13.363711,0.186,27.179993
20201112T2000,25.2029,69,13.202726,0.186,26.420013
20201112T2100,24.4329,73,11.090103,0.186,25.649994
20201112T2200,23.7429,77,9.605998,0.186,24.980011
20201112T2300,23.2029,80,8.759178,0.186,24.420013
20201113T0000,22.7529,82,7.9526596,0.186,23.929993
20201113T0100,22.3529,85,7.6367526,0.186,23.52002
20201113T0200,22.0129,87,7.342588,0.186,23.160004
20201113T0300,21.6829,89,7.342588,0.186,22.830017
20201113T0400,21.4429,91,7.69592,0.186,22.550018
20201113T0500,21.1929,92,7.6367526,0.186,22.290009
20201113T0600,20.8929,93,7.5685663,0.186,22.040009
20201113T0700,21.9829,87,9.114471,0.186,22.649994
20201113T0800,24.2329,68,16.279802,0.186,24.49002
20201113T0900,26.4229,52,19.386591,0.185,26.970001
20201113T1000,27.9629,44,20.192118,0.184,29.589996
20201113T1100,29.1629,41,19.48661,0.183,31.679993
20201113T1200,30.1129,40,18.35647,0.181,33.77002
20201113T1300,30.7129,38,17.581125,0.18,35.179993
20201113T1400,31.0129,37,17.462784,0.179,35.80002
20201113T1500,30.9129,37,16.700275,0.178,35.54001
20201113T1600,30.4629,39,15.5843,0.177,34.420013
20201113T1700,29.4129,45,11.183201,0.182,32.320007
20201113T1800,28.5129,48,10.182337,0.182,30.350006
20201113T1900,27.5329,51,9.47012,0.182,28.880005
20201113T2000,26.5029,55,8.905908,0.182,27.720001
20201113T2100,25.582901,59,7.5170207,0.182,26.76001
20201113T2200,24.832901,62,6.28713,0.181,25.959991
20201113T2300,24.3229,64,4.6938252,0.181,25.27002
20201114T0000,23.9429,66,4.68,0.181,24.660004
